product_id,product_name,category,stock_level,reorder_point,daily_sales_volume,unit_price
67,Pet Waterer with Filtration,Pets,94881,29495,3353,2718.03
68,Maple Bacon Popcorn,Food - Snacks,96797,19687,8437,110.83
69,Peach Mango Smoothie,Food - Beverages,40102,35074,9679,5084.48
70,Pasta Sauce Mix,Food - Sauces,83257,17896,17,89.1
71,Smart Fitness Scale,Fitness,79527,5589,5654,1110.86
72,Roasted Garlic Butter,Food - Condiments,77264,16714,3545,5328.5
73,Peach Preserves,Food - Condiments,68819,16975,5212,8110.93
74,Rustic Italian Breads,Food - Bakery,15071,14698,994,9199.05
75,Mango Chia Pudding,Food - Snacks,57892,30786,8543,1893.37
76,Cable Knit Beanie,Clothing - Accessories,27336,15799,68,475.37
77,Tennis Racket,Fitness,84192,3553,8964,8077.36
78,Handmade Leather Journal,Books,93842,476,8011,4046.01
79,Cinnamon Sugar Donuts,Food - Bakery,9164,43934,2928,3358.86
80,Portable Water Filter,Outdoor,70311,18615,372,5985.59
81,Cauliflower Pizza Crust,Food - Frozen Foods,27085,44144,7670,1845.57
82,Chicken Salad Kit,Food - Prepared Foods,37682,25793,5950,9709.56
83,Honey Mustard Chicken Breasts,Food - Meat,76442,16022,7841,675.29
84,Fishing Rod,Outdoor,81115,19133,8173,6549.19
85,Spicy Kimchi,Food - Condiments,86880,36104,9947,3739.54
86,Roasted Vegetable Medley,Food - Frozen Foods,2086,42471,9811,5482.86
87,Pumpkin Spice Pancake Mix,Food - Breakfast,18344,35527,3046,4881.54
88,Vanilla Protein Powder,Food - Health/Protein,75762,35717,4044,6341.61
89,Pesto Genovese,Food - Condiments,45705,30146,6091,7657.48
90,Travel Pillow,Travel,28605,45510,5686,1899.15
91,Pizza Stone,Kitchen,89128,12337,3223,8594.46
92,Bamboo Cutting Board Set,Kitchen,75367,26857,6908,4713.98
93,Foldable Electric Scooter,Outdoor,27217,46380,5910,4265.68
94,Roasted Garlic Aioli,Food - Condiments,98129,21796,2804,8351.72
95,Electric Knife,Kitchen,33359,41571,8312,5237.76
96,Wine Decanter,Home,61174,45628,2200,7731.06
97,Maple Cinnamon Almonds,Food - Nuts,40774,21563,5356,3411.78
98,Two-Tier Fruit Basket,Home,54579,20263,6310,5277.69
99,Cheese Stuffed Jalapenos,Food - Snacks,47258,49903,4418,5591.72
100,Children's Musical Instrument Set,Toys,26410,15397,3524,172.29
101,Ankle Boots,Clothing - Footwear,18231,12839,9662,7319.12
102,Elegant Lace Dress,Clothing - Dresses,53169,48468,5528,5721.29
103,Non-Toxic Concrete Sealer,Home Improvement,3675,47900,2702,7185.8
104,Frozen Berry Medley,Food - Frozen Foods,63351,10630,6657,1934.43
105,Foam Muscle Roller,Fitness,1142,41590,3148,6276.06
106,Mayonnaise,Food - Condiments,41451,6061,6936,3290.56
107,Recipe Book Stand,Kitchen,16480,4859,255,5534.33
108,Sour Cream,Food - Dairy,81601,22019,2521,1862.69
109,Personal Security Alarm Keychain,Safety,85018,5777,5013,7046.11
110,Buffalo Cauliflower Bites,Food - Freezer,11341,17200,7339,6564.65
111,Granola Bars,Food - Snacks,12642,30850,2272,198.91
112,Electric Heating Pad,Health,44337,5282,3666,1854.85
113,Chocolate Chip Cookie Mix,Food - Baking,65261,44182,6858,3673.16
114,Black Olives,Food - Canned Goods,26966,29820,6608,1374.95
115,Vegan Alfredo Sauce,Food - Sauces,16266,45433,2634,3151.52
116,Wild Rice Pilaf,Food - Grains,93208,39855,7174,8705.74
117,Electric Rice Cooker with Steamer,Kitchen,82464,45280,5584,9451.88
118,Laptop Sleeve,Accessories,39532,35191,2959,5495.6
119,Pet Water Fountain,Pets,33749,48131,5425,5782.19
120,Coconut Cream Pie Yogurt,Food - Dairy Alternatives,10715,19044,1975,4856.11
121,Smartphone Photography Ring Light,Photography,90844,27157,6159,8683.59
122,Warm Wool Sweater,Clothing - Tops,89670,43785,4879,8155.38
123,Cable Knit Beanie,Clothing - Accessories,51767,25018,6944,8267.35
124,Travel Hair Straightener,Beauty,30965,17147,5940,824.02
125,Coconut Lime Rice,Food - Sides,58707,45866,5973,1104.11
126,Car Escape Tool,Automotive,11448,40767,7097,564.3
127,Camera Lens Cleaning Kit,Photography,30923,49105,656,3737.73
128,Savory Breakfast Sausage,Food - Meats,26612,4711,6393,5959.12
129,Black Bean & Corn Salad,Food - Salads,88232,42980,2550,7447.74
130,Balsamic Vinegar,Food - Condiments,90066,45331,1469,3317.86
131,Wild Rice & Quinoa Mix,Food - Grains,39400,6449,5608,4495.82
132,Body Wash,Beauty,977,21175,7991,9887.61
133,Pumpkin Spice Latte Mix,Food - Beverages,22715,6390,7287,1903.21
134,Caraway Rye Bread,Food - Bakery,23997,8204,3269,8593.07
135,Bock Beer Mustard,Food - Condiments,80595,6488,3032,1324.69
136,Electric Wax Warmer,Home,60005,40203,6409,2318.47
137,Fresh Basil,Food - Produce,43204,34750,3368,4852.84
138,Blue Corn Tortilla Chips,Food - Snacks,25561,17732,7128,9561.17
139,Mini Air Purifier,Health,88906,39988,4090,9120.58
140,Decorative Throw Blanket,Home,81676,44355,2759,5841.26
141,Adjustable Pedicure Footrest,Beauty,24164,33296,7368,8090.21
142,Car Vacuum,Automotive,93917,37698,5737,7288.22
143,Folding Table,Outdoor,79179,23807,8140,4675.84
144,Luxury Bath Salts,Beauty,29782,48559,3663,8025.3
145,Green Tea Matcha Powder,Food - Beverages,86805,8509,2268,9562.97
146,Classic Bagels,Food - Bakery,51051,20026,9062,5319.15
147,Eco-Friendly Yoga Mat,Fitness,86409,39357,1060,8035.55
148,Travel Hair Straightener,Beauty,56006,47988,8318,8969.83
149,Sesame Seeds,Food - Baking,19346,44803,8101,3247.86
150,Educational STEM Kit,Toys,42929,34942,3448,4290.12
151,Teriyaki Salmon Fillets,Food - Seafood,6604,31235,4757,2824.37
152,Wireless Earbuds,Audio,87458,9146,9305,9675.89
153,Solar Garden Lights,Outdoor,60900,42627,7320,7578.64
154,Tactical Backpack,Outdoor,27429,32518,725,2820.81
155,Personalized Pet ID Tags,Pets,15938,4212,9060,3868.58
156,Garlic Herb Cream Cheese,Food - Dairy,32330,44261,3839,7236.58
157,Kettle Corn Popcorn,Food - Snacks,5210,23613,3914,6046.79
158,Spiced Pumpkin Soup,Food - Canned Soups,75412,35832,2838,2727.28
159,Andouille Sausage,Food - Meat,3045,49210,1382,9288.54
160,Granola Bars,Food - Snacks,56245,40898,2076,8083.02
161,Chic Ankle Strap Heels,Clothing - Shoes,62219,45878,9049,7072.08
162,Heated Throw Blanket,Home,50409,9990,2733,4107.39
163,Herbal Tea Sampler Box,Food,74469,7141,2089,2373.95
164,Dish Rack,Kitchen,50777,19826,9110,7024.69
165,Caramel Apple Chips,Food - Snacks,17196,17181,776,7867.83
166,Cinnamon Sugar Mix,Food - Baking,9379,9710,188,8702.29
167,Roasted Garlic Pasta Sauce,Food - Sauces,6529,9241,4652,7369.12
168,Herbal Tea Sampler Box,Food,78806,22127,6906,7128.99
169,Vanilla Pudding Mix,Food - Baking,71615,47903,5458,1232.89
170,Elegant Lace Dress,Clothing - Dresses,94472,24041,9415,9138.84
171,Peanut Butter Cookies,Food - Bakery,61522,1081,936,5800.34
172,Peanut Butter Filled Pretzels,Food - Snacks,64857,19820,5341,5744.36
173,Wireless Game Controller,Gaming,80071,27534,8036,1028.81
174,Salt and Pepper Grinder Set,Kitchen,86571,14381,9086,3066.67
175,Tactical Backpack,Outdoor,1917,40824,5272,3085.63
176,Pumpkin Pie Spice,Food - Baking,17933,37286,4860,7797.99
177,Butternut Squash Ravioli,Food - Frozen Foods,5595,48658,3199,2691.63
178,Cold Brew Coffee Maker,Kitchen,85009,48764,2297,2785.38
179,Spinach Artichoke Dip,Food - Snacks,56910,39995,3911,3156.47
180,Ceramic Non-Stick Frying Pan,Kitchen,3566,15865,1096,4547.62
181,Vanilla Pudding Mix,Food - Baking,61309,47803,4315,8164.43
182,Puzzle 3D Model Kit,Toys,72825,22781,1509,2765.89
183,Screen Cleaning Kit,Electronics,11998,42309,8564,5582.53
184,Bamboo Charcoal Air Purifier Bags,Home,89166,13297,687,1099.78
185,Soft Plush Throw Blanket,Home,23481,13830,9485,6372.45
186,Garlic Parmesan Roasted Nuts,Food - Nuts,65523,42224,9749,5074.87
187,Sweetened Condensed Milk,Food - Baking Goods,3399,4451,9501,4693.66
188,LED Strip Lights Kit,Home,39195,1400,9920,769.42
189,Cranberry Almond Cookies,Food - Bakery,36202,17069,9474,6876.88
190,Graphic Print Leggings,Clothing - Activewear,35969,935,4268,7073.12
191,Classic Pesto Sauce,Food - Sauces,69027,4472,164,6008.97
192,Pest Control Traps,Home,20374,14067,9044,8464.53
193,Nordic Berry Smoothie,Food - Frozen Foods,20076,41607,2790,8417.19
194,Smartphone Car Mount with Wireless Charging,Automotive,86552,27951,3590,3823.93
195,Trail Mix (Deluxe),Food - Snacks,42663,18100,9953,4296.65
196,Biodegradable Dog Waste Bags,Pets,62615,30876,4952,3788.01
197,Garlic Butter Sauce,Food - Condiments,8175,672,104,6263.55
198,Garden Tool Set with Carrying Bag,Garden,76170,42160,9731,2976.49
199,Berries Medley,Food - Produce,37130,33029,8855,6366.13
200,Dish Rack,Kitchen,17040,27559,8358,962.17
201,Non-Stick Grill Mat,Outdoor,38638,25239,3163,9544.04
202,Peanut Butter Pretzel Bites,Food - Snacks,3629,6496,8297,7223.47
203,Pepperoni Pizza Roll-Ups,Food - Frozen Foods,16019,26588,3565,4597.54
204,Travel Laundry Bag,Travel,77181,3988,7628,7067.61
205,Cable Knit Cardigan,Clothing - Outerwear,71008,15958,2730,3484.73
206,Smartphone Car Mount with Wireless Charging,Automotive,63266,47723,6339,6552.91
207,Ramen Noodle Soup Cups,Food - Prepared Meals,55150,13055,5627,851.78
208,Dog Collar,Pets,48824,36971,1732,7774.89
209,Fresh Strawberries,Food - Produce,26746,12844,7915,1421.76
210,Dark Chocolate Raisins,Food - Snacks,42087,46931,4501,9731.94
211,Dark Chocolate Covered Pretzels,Food - Snacks,74212,8357,4317,5380.07
212,Scented Candles,Home,9490,35535,7237,4627.44
213,Coconut Chia Pudding,Food - Dairy,90352,34732,3890,6871.8
214,Ginger Turmeric Latte Mix,Food - Beverages,60036,40288,8900,2249.83
215,Ergonomic Mouse Pad with Wrist Support,Office,26401,24512,7604,6630.27
216,Terry Cloth Robe,Clothing - Loungewear,82772,16811,46,1292.43
217,Adjustable Kitchen Broom Stand,Home,90685,45875,5538,2810.37
218,Self-Watering Planters,Garden,60575,28513,1352,7264.02
219,Classic Pumps,Clothing - Footwear,1087,29600,6068,4885.77
220,Sweet Chili Dipping Sauce,Food - Condiments,58190,38758,4322,2216.75
221,Brown Rice,Food - Grains,72659,42119,5696,9045.85
222,Karaoke Microphone,Music,15208,49240,8735,3425.08
223,Mango Chutney,Food - Condiments,43498,33492,2720,846.88
224,Wall-Mounted Bookshelf,Home,97726,8343,5537,9985.77
225,Wireless Gaming Mouse,Gaming,58554,43129,1589,6012.57
226,Fruit and Nut Medley,Food - Snacks,57708,39146,6064,3827.19
227,Pet Grooming Brush,Pets,60362,18926,8343,7618.64
228,Travel Jewelry Organizer,Accessories,14085,46467,948,7706.06
229,Sesame Oil,Food - Oils & Vinegars,585,9109,6071,1532.56
230,Pet Grooming Gloves,Pets,92772,32441,3662,8023.31
231,White Rice,Food - Grains,95156,23710,5990,4447.82
232,Wild Rice & Quinoa Mix,Food - Grains,35746,30984,161,588.06
233,Outdoor Mosquito Repellent Lantern,Outdoor,15696,284,8145,1334.05
234,Creamy Garlic Dressing,Food - Condiments,19076,47207,2410,7380.2
235,Rustic Italian Breads,Food - Bakery,11417,19536,6570,8979.85
236,Fitbit Activity Tracker,Fitness,56536,8970,1533,3095.42
237,Hummus Variety Pack,Food - Dairy,14981,41013,2816,2538.67
238,Window Blinds,Home,42352,40111,182,8716.72
239,Mini Air Purifier,Health,76665,3426,6061,6794.24
240,Rice Cakes,Food - Snacks,20810,49234,4230,6793.66
241,Almond Flour Brownies,Food - Baking,39460,24353,180,4779.82
242,Outdoor Sports Backpack,Outdoor,94653,43074,3727,6740.65
243,Foam Muscle Roller,Fitness,18727,48730,7337,5136.99
244,Foldable Yoga Mat,Fitness,76572,5879,2378,8291.35
245,Ripped Boyfriend Jeans,Clothing - Bottoms,37349,49176,6593,7602.21
246,Banana Peanut Butter Smoothie,Food - Frozen Foods,22900,2005,5539,4161.48
247,Karaoke Microphone,Music,13780,18642,9044,4525.88
248,Reusable Silicone Food Storage Bags,Kitchen,84057,3946,4929,8488.66
249,Memory Foam Mattress Topper,Home,95342,10553,4459,3803.02
250,Maple Bacon Potato Chips,Food - Snacks,17025,19915,3315,2149.47
251,Spicy Garlic Edamame,Food - Snacks,5677,8184,7374,1463.03
252,Ceramic Knife Set,Kitchen,88861,48576,2328,7634.63
253,Wireless Gaming Headset,Gaming,68989,21966,9487,6147.23
254,Multi-Functional Rice Cooker,Kitchen,8693,40452,4840,8340.65
255,Granola Bars,Food - Snacks,82949,21838,8850,7336.97
256,Faux Leather Leggings,Clothing - Pants,77033,21942,8566,2045.03
257,Ceramic Knife Set,Kitchen,17365,26703,6597,6069.65
258,Cinnamon Roll Kit,Food - Baking,50193,6072,1831,1058.79
259,Magnetic Curtain Tiebacks,Home,76463,40566,4410,4345.54
260,Honey Mustard Chicken Breasts,Food - Meat,59877,31075,3970,5601.01
261,Portable Pet Pooper Scooper,Pets,9008,43112,7306,2875.85
262,Baked Falafel,Food - Vegetarian,779,31438,5846,1123.3
263,Garlic Parmesan Roasted Nuts,Food - Nuts,94605,42617,2709,3287.85
264,Ramen Noodles,Food - Pasta,98982,7423,2687,4744.26
265,Ready-to-Eat Chili,Food - Soups,88572,14584,6011,1481.13
266,Kitchen Knife Sharpening System,Kitchen,72050,15190,498,9753.94
267,Scent Diffuser,Home,94813,824,3015,9022.97
268,Foldable Electric Scooter,Outdoor,41243,25359,9756,2113.87
269,Honey Sesame Chicken Mix,Food - Frozen Meals,2058,26142,3832,9724.38
270,Inflatable Pool Float,Outdoor,4557,13678,1882,9882.57
271,Baking Powder,Food - Baking Goods,27304,32127,8441,8518.89
272,Reusable Produce Bags Set,Kitchen,83820,27335,7954,5097.99
273,Microwave Popcorn Maker,Kitchen,68248,29071,1280,3735.95
274,Mini Electric Kettle,Kitchen,83626,42708,5771,2056.08
275,Gaming Headset,Gaming,36398,24339,4537,7257.28
276,Chili Garlic Sauce,Food - Condiments,31200,2806,7355,6991.53
277,Coconut Granola,Food - Snacks,93479,26014,7415,3835.52
278,Oatmeal Raisin Cookies,Food - Baked Goods,15633,34321,3667,1875.32
279,Truffle Parmesan Fries,Food - Snacks,50775,12904,9626,8730.15
280,Frozen Berry Medley,Food - Frozen Foods,26074,41733,734,9334.48
281,Peanut Butter Protein Balls,Food - Snacks,96635,41301,1651,9836.96
282,Plant-Based Meal Prep Containers,Kitchen,80424,11472,9545,335.09
283,Chocolate Hazelnut Spread,Food - Spreads,95860,19936,448,2788.13
284,Children's Backpack,Accessories,98437,10736,6644,2907.86
285,Sun-Dried Tomato Pesto,Food - Condiments,4189,1830,2012,5216.72
286,Adjustable Kneeling Pad,Garden,3784,36088,2697,8759.68
287,Buffalo Sauce,Food - Condiments,71047,29223,4593,6349.29
288,Window Bird Feeder with Suction Cups,Outdoor,65544,36207,7057,4832.24
289,Adjustable Bar Stools,Furniture,27849,23774,6987,3556.85
290,Lemon Garlic Shrimp,Food - Seafood,85766,9479,3431,3008.18
291,Multi-Purpose Plant Care Tool,Garden,49178,46841,7303,4143.97
292,LED Disco Ball Light,Home,85774,37885,3663,6753.57
293,Wall-Mounted Organizer,Home,91240,8136,7869,8176.65
294,Memory Foam Pillow,Home,295,2181,7759,8327.3
295,Memory Card,Storage,66984,35597,7697,3902.74
296,Peach Halves (canned),Food - Canned Goods,62444,25375,7123,4567.79
297,Digital Thermostat,Home,35260,17898,4937,5813.55
298,Classic Baseball Cap,Clothing - Accessories,25655,13947,1520,934.84
299,Kids' Gardening Tools Set,Toys,71839,42686,4766,8130.58
300,Luxury Rolling Makeup Case,Beauty,8754,37605,9498,3352.7
301,Wild Rice Pilaf,Food - Grains,88423,11458,2755,3880.04
302,Mini Electric Kettle,Kitchen,24713,244,4484,5637.13
303,Children's Gardening Set,Toys,91049,18524,9982,4360.07
304,Electric Can Opener,Kitchen,15686,10292,2117,1635.01
305,Green Smoothie Mix,Food - Beverages,28646,17101,1878,8718.78
306,Frozen Berry Blend,Food - Frozen Foods,50349,10759,416,819.65
307,Two-Tone Windbreaker,Clothing - Outerwear,53695,35773,3691,819.83
308,Self-Massaging Pillow,Health,3077,24940,7583,4047.18
309,Hand Crank Blender,Kitchen,62350,4264,1377,20.09
310,Wooden Children's Play Kitchen,Toys,15660,15978,9767,3850.51
311,Zucchini Noodles,Food - Vegetables,47860,33938,985,7148.51
312,Vegetarian Stir Fry Sauce,Food - Condiments,72053,38293,1990,7736.38
313,Yoga Blocks,Fitness,77394,15769,7015,49.95
314,Children's Educational Puzzle,Toys,18985,42360,2207,9355.94
315,Portable Campfire,Outdoor,66848,49674,5870,9039.73
316,Digital Drawing Tablet,Art Supplies,81131,11820,1634,7926.66
317,Cheddar Cheese Slices,Food - Dairy,76013,12053,7966,6192.3
318,Maple Bacon Popcorn,Food - Snacks,69046,14873,8768,7425.88
319,Travel Pillow with Memory Foam,Travel,74352,26001,4928,6459.02
320,Sriracha Honey Glaze,Food - Sauces,86318,22566,2352,667.01
321,Soft Plush Throw Blanket,Home,3824,11733,1747,1803.33
322,Tuscan Bean Soup,Food - Canned Goods,22005,43612,4292,6856.1
323,Electric Razor,Health,24620,48643,6898,7290.91
324,Teriyaki Salmon Fillets,Food - Seafood,14257,45348,2297,1825.62
325,Essential Oils Diffuser Necklace,Health,54985,25841,9046,5828.34
326,Herbed Goat Cheese,Food - Cheese,6336,29537,7859,2984.61
327,Dark Chocolate Bars,Food - Snacks,16142,49282,128,2116.93
328,Organic Honeycrisp Apples,Food - Fruits,28921,3481,8843,4582.36
329,Portable Solar Charger,Electronics,22446,41406,1485,4420.47
330,French Bread,Food - Bakery,34671,27180,8873,6980.2
331,Chia Seed Pudding,Food - Snacks,6466,640,1484,4479.09
332,Portable Bluetooth Keyboard,Electronics,21006,40836,8995,4984.63
333,Tandoori Chicken Skewers,Food - Meat,82465,36227,2039,9922.88
334,Smart Thermos,Fitness,84900,30469,3068,8601.66
335,Roasted Chickpeas,Food - Snacks,69176,16004,19,3156.57
336,Electric Kettle with Temperature Control,Kitchen,80364,3893,1003,9558.22
337,Electric Griddle with Removable Plates,Kitchen,91069,10072,4858,6246.89
338,Multi-Functional Rice Cooker,Kitchen,73046,16971,5668,7193.64
339,Himalayan Salt Grinder,Food - Spices,53100,21706,4513,8949.83
340,Raspberry Vanilla Greek Yogurt,Food - Dairy,1797,40331,7337,2794.16
341,Breezy Off-The-Shoulder Top,Clothing - Tops,87116,8336,5696,5767.84
342,Lemon Pepper Seasoning,Food - Seasonings,60444,45611,7096,4656.38
343,Strawberry Fruit Spread,Food - Jams & Jellies,99539,1904,7150,5454.58
344,Hummus Trio Pack,Food - Snacks,4916,33992,1561,8483.94
345,Coffee Making Kit,Kitchen,7473,10358,4003,1027.24
346,Coconut Milk Ice Cream,Food - Frozen Desserts,21373,14454,3290,7922.52
347,Low-Fat Cottage Cheese,Food - Dairy,93670,45478,3898,4865.39
348,Kale Salad Kit,Food - Salads,59808,39587,3683,942.23
349,Shoe Organizer,Home,70200,25348,1477,5668.58
350,Mechanical Pencil Set,Office,68632,30702,236,9677.31
351,Wireless Game Controller,Gaming,68625,14321,4823,245.5
352,Cinnamon Roll Protein Bar,Food - Snacks,90165,41204,9338,3475.63
353,Dark Chocolate Covered Almonds,Food - Snacks,50858,3192,1197,8663.62
354,Emergency Preparedness Kit,Safety,38472,23665,9472,2681.19
355,Spinach Pizza Rolls,Food - Frozen Foods,43236,47155,7222,3068.95
356,Chipotle Black Bean Salad,Food - Salads,68396,36365,7394,2143.88
357,V-Neck Sweater,Clothing - Tops,48159,6340,5735,5403.59
358,Chickpea Snack Mix,Food - Snacks,23110,16315,3426,1665.21
359,Kids' Activity Book,Books,69343,11039,6385,4670.29
360,Casual Long Cardigan,Clothing - Outerwear,71130,43812,2154,5746.8
361,Smartphone Hand Grip,Accessories,35276,19542,2945,1375.45
362,Pet Grooming Brush,Pets,61744,41170,7308,571.78
363,Foam Roller for Muscle Recovery,Fitness,24202,22205,9378,5093.42
364,Ceramic Non-Stick Frying Pan,Kitchen,6134,22755,808,4118.6
365,Cinnamon Apple Sauce,Food - Canned Goods,76177,32555,7364,4068.51
366,Vanilla Protein Powder,Food - Health/Protein,25480,16074,8220,9991.2
367,Handmade Leather Journal,Books,72585,9061,8907,2226.03
368,Lemon Lime Sparkling Water,Food - Beverages,30555,9879,4168,3119.19
369,Veggie Lovers Pizza,Food - Frozen Foods,69380,23061,8835,9524.99
370,Wireless Smart Plug,Smart Home,52112,19408,6105,2773.1
371,Mini Indoor Herb Garden Kit,Garden,88298,46889,4426,7859.18
372,Cinnamon Spiced Almonds,Food - Snacks,41454,14519,4171,3408.56
373,Mini Fondue Set,Kitchen,52964,49969,2730,8305.54
374,Outdoor String Lights,Outdoor,14533,1022,7540,2153.13
375,Travel Laundry Bag,Travel,11021,14068,7788,9158.69
376,Savory Breakfast Sausage,Food - Meats,76136,46214,8990,9489.47
377,Pet Camera with Treat Dispenser,Pets,13524,15859,7700,7250.53
378,Mango Chutney,Food - Condiments,58540,26839,5341,3390.76
379,Travel Luggage Scale,Travel,27989,37425,5942,4494.39
380,Yoga Mat Carrier,Fitness,32184,30961,8145,2711.71
381,Elegant Maxi Skirt,Clothing - Bottoms,65592,49856,6086,7879.16
382,Spicy Tuna Salad,Food - Seafood,21675,42945,5585,2225.04
383,Chickpea Flour,Food - Baking,67164,2096,3015,7240.33
384,Dried Cranberries,Food - Snacks,82372,21031,4830,744.96
385,Fitness Smartwatch,Wearable Tech,65656,9047,9863,3830.27
386,Buffalo Chicken Wraps,Food - Prepared Meals,37619,33569,8600,4021.52
387,Whole Grain Hamburger Buns,Food - Bakery,19710,23010,625,5433.29
388,High-Speed Hand Blender,Kitchen,10998,43209,634,2701.74
389,Set of Decorative Storage Bins,Home,81241,11576,181,5302.1
390,Streaming Device,Electronics,96254,547,730,2731.82
391,Pineapple Rings,Food - Canned Goods,81627,43972,9072,5949.61
392,Sports Bottle,Fitness,87427,29561,9734,3663.24
393,Organic Granola,Food - Breakfast,89119,49361,1591,3784.27
394,Roasted Garlic Pasta Sauce,Food - Sauces,64761,36627,2676,432.28
395,Electric Screwdriver,Tools,35163,2720,3348,8750.53
396,Zucchini Noodles,Food - Vegetables,93177,26963,7881,5438.53
397,Balsamic Vinegar,Food - Condiments,2733,42372,6690,1076.91
398,Window Blinds,Home,83560,40422,3200,4778.68
399,Spiralizer,Kitchen,82339,41643,4661,7631.16
400,Adjustable Bar Stools,Furniture,46432,48449,9610,1129.35
401,Buffalo Stilton Cheese,Food - Cheese,12306,17574,9232,605.14
